性別,動画頻度,旅行,景観,歴史文化,グルメ,特産品,イベント,現地に行きたい
女性,5,5,2,1,4,2,2,5
女性,4,5,4,4,3,3,2,3
男性,3,5,2,3,3,3,3,3
男性,5,5,5,4,5,4,4,4
男性,1,4,2,4,3,3,4,4
女性,5,5,5,5,3,4,3,4
女性,3,5,4,3,4,3,3,3
女性,5,5,5,2,5,5,5,5
男性,5,3,4,3,5,3,5,4
男性,3,2,5,5,2,2,4,3
男性,3,4,3,4,3,4,2,3
男性,5,1,1,1,1,1,1,1
女性,5,5,5,3,5,5,5,5
女性,5,1,4,2,3,4,2,3
女性,5,5,5,2,5,5,1,5
女性,4,4,5,3,5,3,5,4
女性,3,5,5,5,5,5,5,5
男性,5,4,3,3,4,4,4,4
女性,5,5,5,5,5,5,5,5
女性,5,4,3,4,4,5,4,4
女性,5,4,4,4,5,5,4,4
男性,5,3,3,3,3,3,3,4
女性,5,5,5,5,5,5,5,5
女性,5,4,5,2,5,1,1,3
男性,5,4,5,3,5,2,3,4
男性,5,4,4,2,5,5,4,4
女性,5,1,1,1,1,1,1,2
女性,5,5,5,5,4,3,4,4
男性,5,3,2,2,2,2,2,2
女性,5,5,4,4,5,5,5,5
男性,4,3,3,3,2,3,3,3
女性,5,5,3,3,5,4,4,4
女性,5,5,4,5,5,3,4,4
女性,5,5,4,4,5,5,5,5
女性,5,2,5,5,5,5,5,4
女性,5,5,5,5,5,4,4,4
男性,5,5,5,4,5,5,4,3
女性,5,5,5,2,5,5,5,4
女性,5,5,5,5,5,5,5,4
女性,5,5,5,5,5,5,4,5
男性,5,4,3,4,4,3,3,4
男性,5,4,4,3,4,3,5,4
男性,5,5,5,5,5,5,5,5
女性,5,5,4,3,5,4,3,4