性_,分野,年_,居住地は都市中心からの距_は,_月の_入学生の_合はアルバイト代は平均で大体おいくらですか,よく_画を_るデバイスはどれですか,地域PR_画の_さについて好みはどのぐらいですか,地域PR_画を_るプラットフォ_ムはどれですか,地域PR_画の再生を途中でやめてしまった__はありますか,_日よく_画_ますか,旅行に_味がありますか,地域PR_画で景_自然_景建_に_味を持っていますか,地域PR_画で_史文化に_味を持っていますか,地域PR_画でグルメに_味を持っていますか,地域PR_画で特_品に_味を持っていますか,地域PR_画でイベントお祭りに_味を持っていますか,地域PR_画を_て_地に行きたいという_持ちは段___してください
女性,芸_系,10代,41km-50km,3-5万_,スマ_トフォン,30秒以内,YouTube,__ある,5,5,2,1,4,2,2,5
女性,芸_系,20代,10km-20km,1-3万_,ノ_トパソコン/デスクトップ,1分_以内,Instagram,__ある,4,5,4,4,3,3,2,3
男性,芸_系,30代,10km以内,5-10万_,タブレット,1分_以内,Bilibili,__ない,3,5,2,3,3,3,3,3
男性,文系,20代,10km以内,10-20万_,スマ_トフォン,15秒以内,TikTok,__ある,5,5,5,4,5,4,4,4
男性,芸_系,20代,10km-20km,1万_以下,スマ_トフォン,1分_以内,Instagram,__ある,1,4,2,4,3,3,4,4
女性,芸_系,20代,10km以内,1-3万_,スマ_トフォン,1分_以内,Instagram,__ある,5,5,5,5,3,4,3,4
女性,芸_系,20代,31km-40km,5-10万_,スマ_トフォン,5分_以内,YouTube,__ある,3,5,4,3,4,3,3,3
女性,芸_系,20代,10km-20km,5-10万_,ノ_トパソコン/デスクトップ,1分_以内,Instagram,__ある,5,5,5,2,5,5,5,5
男性,理系,20代,10km-20km,5-10万_,ノ_トパソコン/デスクトップ,5分_以内,Bilibili,__ある,5,3,4,3,5,3,5,4
男性,芸_系,40代,41km-50km,30-40万_,ノ_トパソコン/デスクトップ,5分_以内,YouTube,__ある,3,2,5,5,2,2,4,3
男性,理系,20代,10km以内,20-30万_,スマ_トフォン,1分_以内,Instagram,__ある,3,4,3,4,3,4,2,3
男性,芸_系,20代,10km-20km,1万_以下,スマ_トフォン,5分_以内,Twitter,__ある,5,1,1,1,1,1,1,1
女性,芸_系,20代,10km-20km,1万_以下,スマ_トフォン,30秒以内,TikTok,__ある,5,5,5,3,5,5,5,5
女性,芸_系,10代,10km-20km,1万_以下,タブレット,5分_以内,公式サイト,__ある,5,1,4,2,3,4,2,3
女性,芸_系,20代,10km-20km,1万_以下,スマ_トフォン,5分_以内,YouTube,__ある,5,5,5,2,5,5,1,5
女性,芸_系,10代,10km-20km,1万_以下,タブレット,30秒以内,Instagram,__ない,4,4,5,3,5,3,5,4
女性,芸_系,20代,10km以内,10-20万_,スマ_トフォン,1分_以内,公式サイト,__ある,3,5,5,5,5,5,5,5
男性,芸_系,10代,10km以内,5-10万_,スマ_トフォン,15秒以内,YouTube,__ある,5,4,3,3,4,4,4,4
女性,芸_系,10代,10km以内,1万_以下,スマ_トフォン,30秒以内,YouTube,__ある,5,5,5,5,5,5,5,5
女性,芸_系,10代,51km-60km,3-5万_,スマ_トフォン,1分_以内,公式サイト,__ある,5,4,3,4,4,5,4,4
女性,芸_系,10代,51km-60km,3-5万_,スマ_トフォン,1分_以内,Instagram,__ある,5,4,4,4,5,5,4,4
男性,芸_系,10代,10km以内,10-20万_,スマ_トフォン,30秒以内,YouTube,__ある,5,3,3,3,3,3,3,4
女性,芸_系,20代,51km-60km,5-10万_,スマ_トフォン,1分_以内,TikTok,__ない,5,5,5,5,5,5,5,5
女性,文系,10代,10km以内,5-10万_,テレビ,30秒以内,Instagram,__ある,5,4,5,2,5,1,1,3
男性,芸_系,20代,10km以内,5-10万_,ノ_トパソコン/デスクトップ,1分_以内,YouTube,__ある,5,4,5,3,5,2,3,4
男性,芸_系,10代,10km以内,1万_以下,スマ_トフォン,1分_以内,TikTok,__ある,5,4,4,2,5,5,4,4
女性,芸_系,10代,31km-40km,3-5万_,スマ_トフォン,15秒以内,TikTok,__ある,5,1,1,1,1,1,1,2
女性,芸_系,10代,10km以内,5-10万_,スマ_トフォン,5分_以内,TikTok,__ある,5,5,5,5,4,3,4,4
男性,芸_系,10代,41km-50km,5-10万_,スマ_トフォン,1分_以内,TikTok,__ある,5,3,2,2,2,2,2,2
女性,芸_系,20代,10km以内,5-10万_,スマ_トフォン,15秒以内,Instagram,__ある,5,5,4,4,5,5,5,5
男性,芸_系,10代,10km以内,3-5万_,ノ_トパソコン/デスクトップ,5分_以内,Twitter,__ある,4,3,3,3,2,3,3,3
女性,芸_系,10代,21km-30km,3-5万_,スマ_トフォン,30秒以内,YouTube,__ある,5,5,3,3,5,4,4,4
女性,芸_系,10代,41km-50km,1万_以下,ノ_トパソコン/デスクトップ,1分_以内,YouTube,__ない,5,5,4,5,5,3,4,4
女性,芸_系,10代,10km以内,1万_以下,スマ_トフォン,15秒以内,YouTube,__ある,5,5,4,4,5,5,5,5
女性,芸_系,10代,10km以内,5-10万_,テレビ,1分_以内,YouTube,__ある,5,2,5,5,5,5,5,4
女性,芸_系,10代,10km以内,3-5万_,スマ_トフォン,30秒以内,Twitter,__ない,5,5,5,5,5,4,4,4
男性,芸_系,50代,10km以内,40-50万_,テレビ,30秒以内,YouTube,__ある,5,5,5,4,5,5,4,3
女性,芸_系,10代,10km以内,5-10万_,スマ_トフォン,15秒以内,TikTok,__ある,5,5,5,2,5,5,5,4
女性,芸_系,10代,10km以内,3-5万_,スマ_トフォン,15秒以内,Instagram,__ある,5,5,5,5,5,5,5,4
男性,文系,40代,10km以内,40-50万_,スマ_トフォン,1分_以内,Instagram,__ある,5,4,3,4,4,3,3,4
男性,文系,20代,10km以内,3-5万_,スマ_トフォン,30秒以内,Instagram,__ある,5,4,4,3,4,3,5,4
男性,文系,20代,10km以内,5-10万_,スマ_トフォン,5分_以内,公式サイト,__ある,5,5,5,5,5,5,5,5
女性,文系,30代,10km-20km,20-30万_,スマ_トフォン,1分_以内,Instagram,__ある,5,5,4,3,5,4,3,4